id,prediction
0,1
1,1
2,2
3,2
4,1
5,1
6,2
7,1
8,2
9,1
10,1
11,1
12,2
13,2
14,2
15,2
16,2
17,1
18,1
19,1
20,1
21,2
22,1
23,2
24,1
25,3
26,1
27,2
28,2
29,1
30,2
31,2
32,1
33,1
34,2
35,1
36,2
37,1
38,2
39,1
40,1
41,1
42,2
43,1
44,1
45,1
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,3
54,2
55,1
56,1
57,1
58,1
59,2
60,1
61,1
62,1
63,1
64,2
65,2
66,2
67,2
68,2
69,1
70,1
71,1
72,1
73,1
74,2
75,1
76,2
77,1
78,2
79,2
80,2
81,2
82,1
83,3
84,2
85,1
86,3
87,1
88,1
89,1
90,1
91,1
92,3
93,1
94,2
95,2
96,2
97,1
98,3
99,2
100,2
101,1
102,1
103,1
104,1
105,2
106,2
107,1
108,2
109,2
110,1
111,2
112,2
113,1
114,1
115,2
116,2
117,1
118,3
119,3
120,2
121,1
122,2
123,2
124,2
125,3
126,2
127,2
128,1
129,2
130,1
131,2
132,1
133,1
134,2
135,2
136,1
137,2
138,1
139,1
140,2
141,2
142,3
143,1
144,2
145,1
146,2
147,2
148,1
149,2
150,1
151,1
152,1
153,1
154,1
155,2
156,3
157,1
158,2
159,2
160,1
161,1
162,1
163,1
164,2
165,1
166,2
167,1
168,1
169,1
170,3
171,2
172,2
173,2
174,1
175,3
176,1
177,2
178,1
179,1
180,2
181,1
182,2
183,1
184,2
185,2
186,2
187,1
188,2
189,1
190,1
191,3
192,2
193,1
194,1
195,2
196,1
197,2
198,1
199,1
200,3
201,3
202,1
203,1
204,2
205,1
206,1
207,1
208,2
209,1
210,2
211,1
212,1
213,1
214,2
215,2
216,1
217,1
218,2
219,1
220,2
221,2
222,1
223,1
224,2
225,2
226,2
227,1
228,2
229,2
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,2
239,1
240,1
241,2
242,3
243,1
244,1
245,1
246,1
247,2
248,1
249,1
250,1
251,1
252,1
253,2
254,1
255,1
256,1
257,1
258,1
259,1
260,2
261,2
262,1
263,1
264,2
265,2
266,2
267,1
268,1
269,2
270,2
271,1
272,1
273,1
274,2
275,2
276,2
277,3
278,1
279,1
280,2
281,1
282,1
283,2
284,2
285,2
286,2
287,1
288,1
289,2
290,2
291,1
292,3
293,1
294,2
295,2
296,2
297,1
298,1
299,1
300,2
301,3
302,1
303,1
304,2
305,1
306,3
307,1
308,1
309,1
310,1
311,1
312,1
313,2
314,2
315,1
316,1
317,1
318,1
319,1
320,3
321,1
322,2
323,1
324,2
325,1
326,1
327,1
328,1
329,1
330,2
331,1
332,1
333,2
334,1
335,2
336,2
337,3
338,3
339,1
340,2
341,3
342,1
343,2
344,2
345,2
346,3
347,1
348,1
349,2
350,2
351,2
352,1
353,1
354,1
355,2
356,2
357,2
358,3
359,1
360,1
361,3
362,2
363,1
364,1
365,2
366,1
367,1
368,1
369,2
370,1
371,1
372,1
373,2
374,2
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,2
383,1
384,1
385,2
386,1
387,2
388,2
389,2
390,2
391,1
392,2
393,1
394,1
395,3
396,1
397,1
398,1
399,2
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,2
408,2
409,2
410,2
411,1
412,1
413,1
414,1
415,1
416,1
417,2
418,2
419,1
420,1
421,1
422,2
423,2
424,2
425,1
426,3
427,2
428,2
429,1
430,1
431,1
432,2
433,3
434,2
435,2
436,1
437,2
438,3
439,3
440,1
441,2
442,1
443,1
444,1
445,2
446,2
447,3
448,2
449,2
450,1
451,1
452,1
453,1
454,2
455,1
456,1
457,2
458,1
459,1
460,1
461,1
462,3
463,1
464,1
465,2
466,1
467,3
468,2
469,2
470,2
471,2
472,1
473,1
474,2
475,3
476,2
477,1
478,1
479,1
480,3
481,2
482,1
483,1
484,2
485,1
486,2
487,2
488,3
489,2
490,1
491,1
492,1
493,2
494,2
495,1
496,1
497,1
498,2
499,2
500,2
501,1
502,1
503,3
504,2
505,2
506,1
507,2
508,2
509,1
510,3
511,2
512,2
513,2
514,2
515,3
516,1
517,2
518,1
519,1
520,1
521,1
522,1
523,1
524,2
525,1
526,1
527,1
528,2
529,1
530,1
531,1
532,1
533,1
534,1
535,2
536,1
537,1
538,2
539,1
540,2
541,1
542,1
543,2
544,2
545,2
546,1
547,2
548,1
549,1
550,2
551,2
552,2
553,1
554,2
555,2
556,2
557,3
558,2
559,1
560,1
561,2
562,2
563,1
564,2
565,1
566,3
567,3
568,2
569,1
570,2
571,1
572,1
573,3
574,1
575,2
576,2
577,2
578,2
579,1
580,2
581,3
582,1
583,2
584,1
585,1
586,1
587,3
588,3
589,1
590,1
591,1
592,1
593,2
594,1
595,2
596,1
597,2
598,2
599,1
600,1
601,1
602,3
603,2
604,2
605,1
606,2
607,1
608,1
609,2
610,1
611,1
612,2
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,3
628,3
629,1
630,2
631,1
632,2
633,1
634,2
635,2
636,2
637,1
638,3
639,1
640,1
641,2
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,2
653,2
654,2
655,1
656,2
657,2
658,2
659,1
660,2
661,2
662,2
663,1
664,1
665,2
666,2
667,1
668,1
669,1
670,1
671,1
672,1
673,2
674,1
675,2
676,1
677,1
678,2
679,1
680,1
681,1
682,1
683,2
684,1
685,1
686,2
687,3
688,1
689,1
690,2
691,2
692,1
693,1
694,1
695,2
696,2
697,2
698,2
699,1
700,1
701,1
702,2
703,1
704,1
705,1
706,2
707,1
708,3
709,1
710,2
711,2
712,2
713,1
714,2
715,1
716,3
717,2
718,1
719,1
720,1
721,2
722,2
723,1
724,1
725,1
726,3
727,1
728,1
729,3
730,2
731,1
732,1
733,2
734,1
735,1
736,2
737,1
738,1
739,1
740,1
741,2
742,1
743,1
744,1
745,1
746,1
747,2
748,1
749,2
750,1
751,1
752,1
753,1
754,2
755,1
756,3
757,2
758,2
759,1
760,1
761,1
762,1
763,3
764,1
765,1
766,2
767,2
768,1
769,2
770,1
771,3
772,1
773,1
774,1
775,1
776,2
777,3
778,1
779,1
780,1
781,1
782,1
783,1
784,2
785,2
786,2
787,2
788,1
789,2
790,1
791,1
792,1
793,1
794,2
795,1
796,2
797,2
798,3
799,1
800,1
801,2
802,2
803,1
804,3
805,1
806,1
807,1
808,1
809,1
810,2
811,1
